Age,Primary streaming service,Hours per day,While working,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Hip hop],Frequency [Pop],Frequency [Rock],Anxiety,Depression,Insomnia,Music effects
35,Other streaming service,0.5,No,Pop,No,No,,Never,Very frequently,Sometimes,10,3,1,No effect
21,I do not use a streaming service.,2,Yes,Rock,No,Yes,101,Very frequently,Very frequently,Very frequently,8,8,3,Improve
25,Apple Music,2.5,Yes,R&B,No,No,,Sometimes,Sometimes,Sometimes,7,6,5,Improve
18,Spotify,2,Yes,K pop,Yes,Yes,98,Sometimes,Sometimes,Never,7,2,3,Improve
16,Apple Music,2,No,Pop,Yes,No,145,Rarely,Very frequently,Very frequently,10,3.5,5,Improve
19,Spotify,1,Yes,Pop,Yes,Yes,94,Sometimes,Very frequently,Very frequently,7,5,1,Improve
31,Spotify,4,Yes,Classical,No,Yes,103,Sometimes,Rarely,Sometimes,6,8,9,Improve
26,Spotify,5,Yes,Rock,No,No,,Never,Very frequently,Very frequently,2,9,2,No effect
16,Spotify,2,Yes,Rock,No,No,112,Never,Sometimes,Very frequently,7,4,10,Improve
26,Spotify,2,Yes,Rock,Yes,Yes,,Rarely,Rarely,Very frequently,7,5,6,Improve
17,Spotify,2,Yes,R&B,Yes,Yes,118,Sometimes,Sometimes,Never,6,1,0,Improve
22,Spotify,1,Yes,Video game music,Yes,Yes,,Never,Rarely,Very frequently,3,6,1,Improve
20,Apple Music,4,Yes,R&B,Yes,Yes,113,Sometimes,Sometimes,Very frequently,9,10,3,Improve
30,Spotify,1,No,Rock,Yes,No,162,Rarely,Sometimes,Very frequently,8,5,8,Improve
26,Other streaming service,4,Yes,Pop,No,No,,Rarely,Very frequently,Sometimes,8,7,7,Improve
19,Spotify,5,Yes,Rock,Yes,Yes,111,Rarely,Sometimes,Very frequently,9,9,9,No effect
21,Spotify,5,Yes,Country,Yes,No,85,Rarely,Sometimes,Very frequently,9,8,9,Improve
33,Spotify,7,Yes,Rock,Yes,Yes,134,Very frequently,Very frequently,Very frequently,9,3,7,Improve
28,YouTube Music,2,Yes,Rock,Yes,No,172,Sometimes,Sometimes,Very frequently,10,8,6,Improve
25,Spotify,3,Yes,Rock,Yes,Yes,180,Rarely,Sometimes,Very frequently,9,6,3,Improve
22,YouTube Music,2,Yes,Pop,No,No,120,Rarely,Very frequently,Sometimes,7,7,8,Improve
19,Spotify,3,Yes,Rock,Yes,Yes,76,Never,Rarely,Very frequently,9,10,4,Improve
44,Other streaming service,3,Yes,Folk,Yes,Yes,130,Sometimes,Rarely,Rarely,9,9,8,Improve
22,Spotify,3,Yes,Rock,No,No,,Rarely,Rarely,Very frequently,9,10,3,Improve
26,Spotify,5,Yes,Metal,Yes,Yes,109,Rarely,Sometimes,Sometimes,10,9,8,Improve
23,I do not use a streaming service.,6,Yes,Classical,No,Yes,96,Never,Rarely,Never,6,5,6,Improve
17,Spotify,2,No,R&B,No,Yes,148,Very frequently,Sometimes,Never,8,6,10,Improve
42,YouTube Music,2,No,Metal,Yes,No,,Sometimes,Sometimes,Very frequently,8,3,6,Improve
30,Spotify,1,No,Rock,Yes,No,129,Rarely,Very frequently,Very frequently,4,2,1,Improve
35,Spotify,1,Yes,Pop,Yes,Yes,81,Sometimes,Very frequently,Sometimes,2,1,1,No effect
20,Spotify,3,No,Rock,Yes,No,136,Never,Very frequently,Very frequently,10,10,7,Improve
18,Spotify,3,Yes,Rap,Yes,Yes,155,Very frequently,Very frequently,Very frequently,8,9,0,Improve
21,Spotify,1,No,Pop,No,Yes,,Rarely,Very frequently,Sometimes,4,9,6,No effect
19,Spotify,6,Yes,Rock,Yes,Yes,52,Rarely,Very frequently,Very frequently,4,2,0,Improve
37,Spotify,4,Yes,Rock,Yes,No,97,Very frequently,Sometimes,Very frequently,9,2,7,Improve
31,Spotify,2,Yes,Metal,Yes,Yes,92,Sometimes,Sometimes,Very frequently,8,6,7,Improve
29,Spotify,2,Yes,Folk,Yes,Yes,100,Rarely,Rarely,Very frequently,6,5,4,Improve
20,Spotify,3,Yes,Rock,Yes,Yes,120,Rarely,Very frequently,Very frequently,8,5,2,Improve
36,I do not use a streaming service.,8,Yes,Video game music,No,Yes,143,Rarely,Rarely,Sometimes,7,6,6,No effect
18,Spotify,3,Yes,Rock,Yes,No,118,Never,Sometimes,Very frequently,10,2,0,Improve
18,Spotify,2,Yes,K pop,Yes,Yes,130,Never,Sometimes,Rarely,6,0,0,Improve
25,Spotify,7,Yes,Pop,No,Yes,120,Sometimes,Very frequently,Rarely,2,0,1,Improve
18,YouTube Music,12,Yes,K pop,Yes,Yes,126,Sometimes,Very frequently,Rarely,3,7,5,Improve
31,YouTube Music,9,Yes,Pop,Yes,Yes,158,Never,Very frequently,Sometimes,9,0,2,Improve
17,Spotify,2,Yes,Pop,Yes,Yes,160,Sometimes,Very frequently,Sometimes,5,4,1,Improve
21,Spotify,1,Yes,Folk,No,Yes,,Rarely,Rarely,Sometimes,8,4,0,Improve
30,Other streaming service,1,No,Country,No,No,119,Sometimes,Very frequently,Sometimes,8,10,2,Improve
40,Apple Music,2,Yes,Metal,Yes,Yes,120,Rarely,Rarely,Very frequently,3,6,2,No effect
64,I do not use a streaming service.,4,Yes,Rock,No,No,200,Rarely,Sometimes,Sometimes,4,4,2,Improve
14,Spotify,2,Yes,Rock,Yes,Yes,136,Sometimes,Very frequently,Very frequently,7,5,2,Improve
26,YouTube Music,6,Yes,Rock,Yes,No,104,Rarely,Sometimes,Very frequently,3,2,0,No effect
35,Spotify,4,Yes,Country,Yes,Yes,90,Very frequently,Sometimes,Very frequently,9,9,5,Improve
33,Other streaming service,1,No,Rock,No,No,120,Sometimes,Sometimes,Very frequently,3,10,4,No effect
30,Spotify,6,Yes,Folk,Yes,Yes,89,Never,Rarely,Very frequently,9,0,5,No effect
31,Spotify,2,No,Metal,Yes,,95,Rarely,Very frequently,Very frequently,7,6,6,Improve
27,Spotify,5,Yes,Folk,Yes,Yes,140,Rarely,Very frequently,Very frequently,0,9,4,Improve
53,I do not use a streaming service.,1.5,No,Pop,Yes,Yes,92,Sometimes,Very frequently,Sometimes,2,2,2,No effect
23,Spotify,5,Yes,Metal,Yes,Yes,120,Never,Rarely,Very frequently,6,9,2,Improve
25,Spotify,2,Yes,EDM,Yes,No,128,Sometimes,Very frequently,Very frequently,6,4,1,Improve
16,Apple Music,4,Yes,K pop,Yes,Yes,140,Very frequently,Very frequently,Sometimes,8,9,4,Improve
18,Spotify,2,Yes,Rock,Yes,No,,Rarely,Rarely,Very frequently,6,7,4,Improve
29,Spotify,5,Yes,Classical,Yes,Yes,,Never,Sometimes,Sometimes,7,2,2,Improve
31,YouTube Music,6,Yes,EDM,Yes,Yes,136,Sometimes,Sometimes,Sometimes,8,6,5,No effect
